型号，CPU,GPU，屏幕尺寸，屏幕分辨率，刷新率，内存，硬盘，电池，重量，价格区间，用途分类，品牌
惠普 Envy 14,Intel i7-1355U,Intel Iris Xe,14 英寸，1920x1200,60Hz,16GB LPDDR5,512GB SSD,68Wh,1.49kg,7000-8000 元，轻薄本，惠普
惠普战 99,Intel i7-13700H,RTX A1000,16 英寸，1920x1080,60Hz,32GB DDR5,1TB SSD,83Wh,2.27kg,8000-9000 元，工作站，惠普
华硕天选 5,AMD R9-7940HX,RTX 4060,15.6 英寸，1920x1080,144Hz,16GB DDR5,512GB SSD,90Wh,2.2kg,7000-8000 元，游戏本，华硕
华硕无畏 Pro15,Intel i9-13900H,RTX 4060,15.6 英寸，2880x1620,120Hz,16GB DDR5,1TB SSD,70Wh,1.8kg,7500-8500 元，全能本，华硕
华硕 a 豆 14,Intel i5-13500H,Intel Iris Xe,14 英寸，1920x1080,60Hz,16GB DDR4,512GB SSD,50Wh,1.35kg,4000-4500 元，轻薄本，华硕
华硕 ProArt 创 16,Intel i9-13900H,RTX 4070,16 英寸，3200x2000,120Hz,32GB DDR5,1TB SSD,90Wh,2.4kg,13000-15000 元，创作本，华硕
华硕灵耀 X 逍遥，Intel i7-1360P,Intel Iris Xe,14 英寸，2880x1800,60Hz,16GB LPDDR5,512GB SSD,75Wh,1.45kg,8000-9000 元，轻薄本，华硕
微星幻影 15,Intel i7-13700H,RTX 4060,15.6 英寸，1920x1080,144Hz,16GB DDR5,512GB SSD,53.5Wh,2.1kg,7000-8000 元，游戏本，微星
微星绝影 14,Intel i7-13620H,RTX 4060,14 英寸，1920x1080,144Hz,16GB DDR5,512GB SSD,65Wh,1.7kg,8000-9000 元，游戏本，微星
微星侠客 GF63,Intel i7-12650H,RTX 4050,15.6 英寸，1920x1080,144Hz,16GB DDR4,512GB SSD,52.4Wh,1.86kg,5500-6500 元，游戏本，微星
ROG 幻 16,Intel i9-13900H,RTX 4070,16 英寸，2560x1600,240Hz,16GB DDR5,1TB SSD,90Wh,2.05kg,11000-13000 元，游戏本，ROG
ROG 枪神 7,Intel i9-13980HX,RTX 4080,16 英寸，2560x1600,240Hz,32GB DDR5,1TB SSD,90Wh,2.5kg,18000-20000 元，游戏本，ROG
ROG 幻 14,AMD R9-7940HS,RTX 4060,14 英寸，2560x1600,120Hz,16GB DDR5,512GB SSD,76Wh,1.65kg,9000-10000 元，游戏本，ROG
ROG 冰刃 7,AMD R9-7945HX,RTX 4090,16 英寸，3840x2400,120Hz,64GB DDR5,2TB SSD,90Wh,2.5kg,28000-30000 元，旗舰本，ROG
MacBook Pro 14 M3,Apple M3 Pro,Apple GPU,14.2 英寸，3024x1964,120Hz,18GB 统一内存，512GB SSD,70Wh,1.61kg,14000-16000 元，创作本，苹果
MacBook Pro 16 M3 Max,Apple M3 Max,Apple GPU,16.2 英寸，3456x2234,120Hz,36GB 统一内存，1TB SSD,100Wh,2.18kg,24000-26000 元，创作本，苹果
MacBook Air M2,Apple M2,Apple GPU,13.6 英寸，2560x1664,60Hz,16GB 统一内存，512GB SSD,52.6Wh,1.24kg,9000-11000 元，轻薄本，苹果
红米 Book 14,Intel i5-13500H,Intel Iris Xe,14 英寸，1920x1080,60Hz,16GB DDR4,512GB SSD,56Wh,1.45kg,3500-4000 元，轻薄本，小米
小米 Book Pro 14,Intel i7-1360P,Intel Iris Xe,14 英寸，2560x1600,60Hz,16GB LPDDR5,512GB SSD,56Wh,1.4kg,5000-6000 元，轻薄本，小米
小米 Redmi Book Pro 15,Intel i7-13700H,Intel Iris Xe,15.6 英寸，3200x2000,90Hz,16GB DDR5,512GB SSD,70Wh,1.8kg,5500-6500 元，轻薄本，小米
华为 MateBook 14s,Intel i7-13700H,Intel Iris Xe,14.2 英寸，2520x1680,90Hz,16GB LPDDR5,512GB SSD,60Wh,1.43kg,6000-7000 元，轻薄本，华为
华为 MateBook X Pro,Intel i7-1360P,Intel Iris Xe,13.9 英寸，3000x2000,60Hz,16GB LPDDR5,512GB SSD,65Wh,1.26kg,9000-11000 元，商务本，华为
华为 MateBook D 14,Intel i5-1340P,Intel Iris Xe,14 英寸，1920x1080,60Hz,16GB DDR4,512GB SSD,56Wh,1.39kg,4000-4500 元，轻薄本，华为
荣耀 MagicBook Pro,Intel i7-13700H,Intel Iris Xe,16.1 英寸，1920x1080,60Hz,16GB DDR4,512GB SSD,70Wh,1.7kg,5000-6000 元，轻薄本，荣耀
荣耀 MagicBook V14,Intel i7-13700H,Intel Iris Xe,14.2 英寸，2520x1680,90Hz,16GB LPDDR5,512GB SSD,60Wh,1.42kg,5500-6500 元，轻薄本，荣耀
荣耀 X14 Plus,Intel i7-13700H,Intel Iris Xe,14 英寸，1920x1080,60Hz,16GB DDR4,512GB SSD,60Wh,1.41kg,4500-5500 元，轻薄本，荣耀
机械革命蛟龙 16K,AMD R7-7735HS,RTX 4060,16 英寸，2560x1600,165Hz,16GB DDR5,512GB SSD,90Wh,2.3kg,6500-7500 元，游戏本，机械革命
机械革命极光 X,Intel i7-13650HX,RTX 4050,15.6 英寸，1920x1080,144Hz,16GB DDR5,512GB SSD,60Wh,2.2kg,6000-7000 元，游戏本，机械革命
机械革命无界 14X,AMD R7-7840HS,AMD Radeon 780M,14 英寸，2560x1600,120Hz,16GB DDR5,512GB SSD,60Wh,1.38kg,4500-5500 元，轻薄本，机械革命
神舟战神 Z8,Intel i7-13700H,RTX 4060,15.6 英寸，1920x1080,144Hz,16GB DDR5,512GB SSD,53Wh,2.3kg,6000-7000 元，游戏本，神舟
神舟 S8,Intel i7-12650H,RTX 4050,15.6 英寸，1920x1080,144Hz,16GB DDR4,512GB SSD,53Wh,2.2kg,5000-6000 元，游戏本，神舟
神舟战神 TX8,Intel i7-13700HX,RTX 4060,15.6 英寸，1920x1080,144Hz,16GB DDR5,512GB SSD,53Wh,2.4kg,6500-7500 元，游戏本，神舟
雷蛇灵刃 14,AMD R9-7940HS,RTX 4060,14 英寸，2560x1440,165Hz,16GB DDR5,1TB SSD,68Wh,1.84kg,11000-13000 元，游戏本，雷蛇
雷蛇灵刃 15,Intel i9-13950H,RTX 4070,15.6 英寸，2560x1440,240Hz,32GB DDR5,1TB SSD,80Wh,2.01kg,16000-18000 元，游戏本，雷蛇
雷蛇 Blade 18,Intel i9-13950HX,RTX 4090,18 英寸，3840x2400,120Hz,64GB DDR5,2TB SSD,95Wh,3.1kg,32000-35000 元，旗舰本，雷蛇
LG gram 16,Intel i7-1360P,Intel Iris Xe,16 英寸，2560x1600,60Hz,16GB LPDDR5,512GB SSD,80Wh,1.19kg,8000-9000 元，轻薄本，LG
LG gram 14,Intel i7-1360P,Intel Iris Xe,14 英寸，1920x1200,60Hz,16GB LPDDR5,512GB SSD,72Wh,0.999kg,7500-8500 元，轻薄本，LG
三星 Galaxy Book3,Intel i7-1360P,Intel Iris Xe,15.6 英寸，1920x1080,60Hz,16GB LPDDR4,512GB SSD,54Wh,1.58kg,6000-7000 元，轻薄本，三星
三星 Galaxy Book2 Pro,Intel i7-1260P,Intel Iris Xe,15.6 英寸，1920x1080,60Hz,16GB LPDDR5,512GB SSD,63Wh,1.56kg,7000-8000 元，轻薄本，三星
宏碁非凡 Go 14,Intel i7-13700H,Intel Iris Xe,14 英寸，2560x1600,90Hz,16GB LPDDR5,512GB SSD,65Wh,1.36kg,5000-6000 元，轻薄本，宏碁
宏碁非凡 S3,Intel i7-1360P,Intel Iris Xe,14 英寸，2560x1600,60Hz,16GB LPDDR5,512GB SSD,56Wh,1.25kg,5500-6500 元，轻薄本，宏碁
宏碁掠夺者·擎 Neo,Intel i7-13700HX,RTX 4060,16 英寸，2560x1600,165Hz,16GB DDR5,512GB SSD,90Wh,2.6kg,8000-9000 元，游戏本，宏碁
微软 Surface Laptop 5,Intel i7-1260P,Intel Iris Xe,13.5 英寸，2256x1504,60Hz,16GB LPDDR5,512GB SSD,47.4Wh,1.27kg,9000-11000 元，轻薄本，微软
微软 Surface Pro 9,Intel i7-1255U,Intel Iris Xe,13 英寸，2880x1920,60Hz,16GB LPDDR5,512GB SSD,47.7Wh,0.879kg,10000-12000 元，二合一，微软
Surface Laptop Studio,Intel i7-12700H,RTX 3050Ti,14.4 英寸，2400x1600,120Hz,32GB LPDDR5,1TB SSD,58Wh,1.74kg,15000-17000 元，创作本，微软
明基 BenQ MOBIUZ EX16,Intel i5-12450H,RTX 3050,16 英寸，1920x1200,144Hz,16GB DDR5,512GB SSD,70Wh,2.1kg,6000-7000 元，游戏本，明基
富士通 UH-XE3D,Intel i7-1355U,Intel Iris Xe,13.3 英寸，1920x1080,60Hz,16GB LPDDR5,512GB SSD,43Wh,0.898kg,8000-9000 元，轻薄本，富士通
松下 Let's Note,Intel i7-1360P,Intel Iris Xe,14 英寸，2256x1504,60Hz,16GB LPDDR5,512GB SSD,54Wh,1.09kg,10000-12000 元，商务本，松下
